Acc, 5.213, 0.04, 1.73, 9.14
Gyr, 5.218, -0.26, -0.19, 0.05
Gyr, 5.222, -0.45, -0.19, 0.10
Acc, 5.228, 0.04, 1.73, 9.14
Gyr, 5.233, -0.66, -0.22, 0.17
Gyr, 5.237, -0.96, -0.17, 0.18
Acc, 5.246, 0.99, 1.46, 8.84
Gyr, 5.262, -1.07, -0.07, 0.15
Gyr, 5.266, -0.67, -0.03, 0.05
Acc, 5.268, 0.99, 1.46, 8.84
Gyr, 5.271, -0.65, 0.01, -0.06
Gyr, 5.276, -0.94, 0.29, -0.35
Acc, 5.287, 0.50, 7.86, 15.51
Gyr, 5.295, -0.86, 0.49, -0.07
Gyr, 5.299, -0.63, 0.60, -0.16
Acc, 5.304, 2.67, 0.23, 14.57
Gyr, 5.308, -0.39, 0.67, -0.24
Gyr, 5.311, -0.01, 0.56, -0.07
Gyr, 5.320, 0.22, 0.43, -0.15
Acc, 5.325, -1.20, -1.91, 10.36
Gyr, 5.337, 0.17, 0.35, -0.11
Acc, 5.354, -0.79, -0.60, 5.99
Gyr, 5.358, -0.03, 0.30, -0.01
Gyr, 5.361, -0.25, 0.28, 0.02
Acc, 5.365, -0.31, 0.85, 6.48
Gyr, 5.369, -0.32, 0.25, 0.09
Gyr, 5.373, -0.19, 0.22, 0.07
Acc, 5.377, -0.39, -0.82, 9.25
Gyr, 5.381, 0.07, 0.18, 0.04
Gyr, 5.386, 0.34, 0.12, 0.02
Gyr, 5.395, 0.51, 0.07, 0.01
Acc, 5.399, -0.85, -1.52, 10.23
Gyr, 5.404, 0.55, 0.04, 0.02
Gyr, 5.417, 0.50, 0.01, 0.06
Acc, 5.423, -0.92, 0.42, 8.71
Gyr, 5.433, 0.39, -0.01, 0.08
Gyr, 5.448, 0.28, -0.03, 0.08
Acc, 5.453, -0.50, 1.50, 8.16
Gyr, 5.457, 0.20, -0.04, 0.07
Gyr, 5.471, 0.14, -0.05, 0.08
Acc, 5.476, -0.50, 1.50, 8.16
Gyr, 5.481, 0.11, -0.06, 0.08
Gyr, 5.490, 0.11, -0.06, 0.09
Acc, 5.493, -0.11, 1.04, 9.36
